id;message_key;translated_text;language_id;created_at;updated_at
262;pain_area_right_dorsal_mid-hand;right dorsal mid-hand;1;;
263;pain_area_right_dorsal_fingers;right dorsal fingers;1;;
264;pain_area_left_inferior_wrist;left inferior wrist;1;;
265;pain_area_left_palmar_mid-hand;left palmar mid-hand;1;;
266;pain_area_left_palmar_fingers;left palmar fingers;1;;
267;pain_area_right_inferior_wrist;right inferior wrist;1;;
268;pain_area_right_palmar_mid-hand;right palmar mid-hand;1;;
269;pain_area_right_palmar_fingers;right palmar fingers;1;;
270;pain_area_left_anterior_lateral_upper_leg;left anterior lateral upper leg;1;;
271;pain_area_left_anterior_medial_upper_leg;left anterior medial upper leg;1;;
272;pain_area_left_anterior_knee;left anterior knee;1;;
273;pain_area_left_anterior_lower_leg;left anterior lower leg;1;;
274;pain_area_right_anterior_lateral_upper_leg;right anterior lateral upper leg;1;;
275;pain_area_right_anterior_medial_upper_leg;right anterior medial upper leg;1;;
276;pain_area_right_anterior_knee;right anterior knee;1;;
277;pain_area_right_anterior_lower_leg;right anterior lower leg;1;;
278;pain_area_left_posterior_lateral_upper_leg;left posterior lateral upper leg;1;;
279;pain_area_left_posterior_medial_upper_leg;left posterior medial upper leg;1;;
280;pain_area_left_posterior_lower_leg;left posterior lower leg;1;;
281;pain_area_right_posterior_lateral_upper_leg;right posterior lateral upper leg;1;;
282;pain_area_right_posterior_medial_upper_leg;right posterior medial upper leg;1;;
283;pain_area_right_posterior_lower_leg;right posterior lower leg;1;;
284;pain_area_left_anterior_ankle;left anterior ankle;1;;
285;pain_area_left_anterior_mid-foot;left anterior mid-foot;1;;
286;pain_area_left_superior_toes;left superior toes;1;;
287;pain_area_right_anterior_ankle;right anterior ankle;1;;
288;pain_area_right_anterior_mid-foot;right anterior mid-foot;1;;
289;pain_area_right_superior_toes;right superior toes;1;;
290;pain_area_left_posterior_ankle;left posterior ankle;1;;
291;pain_area_left_plantar_heel_;left plantar heel ;1;;
292;pain_area_left_plantar_mid-foot;left plantar mid-foot;1;;
293;pain_area_right_posterior_ankle;right posterior ankle;1;;
294;pain_area_right_plantar_heel_;right plantar heel ;1;;
295;pain_area_right_plantar_mid-foot;right plantar mid-foot;1;;
296;pain_area_upper_thoracic;upper thoracic;1;;
297;pain_area_mid_thoracic;mid thoracic;1;;
298;pain_area_lower_thoracic;lower thoracic;1;;
299;pain_area_lumbar;lumbar;1;;
300;medication_1;Antiepileptics;1;;
301;medication_2;Antidepressants;1;;
302;medication_3;Topical treatment;1;;
303;medication_4;Opioids;1;;
304;medication_no_treatment;No concomitant neuropathic pain medication;1;;
305;neck;Neck;1;;
306;chest_left;Chest left;1;;
307;chest_right;Chest right;1;;
308;back_and_flank_left;Back and left side;1;;
309;back_and_flank_right;Back and right side;1;;
310;hand_and_forearm_right;Hand and Forearm right;1;;
311;arm_left;Arm left;1;;
312;arm_right;Arm right;1;;
313;hand_and_Forearm_left;Hand and Forearm left;1;;
314;leg_left;Leg left;1;;
315;leg_right;Leg right;1;;
316;foot_left;Foot left;1;;
317;foot_right;Foot right;1;;
318;spine;Spine;1;;
319;neck_type;NECK;1;;
320;chest_type;CHEST;1;;
321;back_and_flank_type;BACK AND SIDE;1;;
322;arm_and_hand_type;ARM AND HAND;1;;
323;leg_and_foot_type;LEG AND FOOT;1;;
324;spine_type;SPINE;1;;
325;survey_dn4;DN4 questionnaire;1;;
326;survey_nrs;NRS Questionnaire (numerical evaluation scale);1;;
327;survey_npsi;NPSI;1;;
328;survey_pgic;PGIC;1;;
329;survey_eq5d;EQ-5D-5L;1;;
330;survey_mos;MOS;1;;
331;survey_npsi_cat_1_desc;"We wish to know if you feel spontaneous pain, that is pain without any stimulation. For each of the following questions, please select the number that best describes your average spontaneous pain severity during the past 24 hours. 

Circle the number 0 if you have not felt such pain (select one number only).";1;;
332;survey_npsi_cat_2_desc;"We would like to know if you have had any brief searing pain. For each of the following questions, please select the number that best corresponds to the average intensity of your searing pain over the past 24 hours.

Select the number 0 if you have not experienced this type of pain (circle just one number).";1;;
333;survey_npsi_cat_3_desc;We would like to know if you experience any brief painful episodes. For each of the following questions, circle the number that best corresponds to the intensity of your painful episodes on average over the past 24 hours. Circle the number 0 if you have not experienced this type of pain. (Please circle only one number);1;;
334;survey_npsi_cat_4_desc;We would like to know if you have any abnormal sensations in the area of pain. For each of the following questions, circle the number that best corresponds to the intensity of your abnormal sensations on average over the past 24 hours. Circle the number 0 if you have not experienced this type of sensation. (Please circle just one number);1;;
335;survey_eq5d_cat_1_desc;"For each section, please check ONE box, the one that best describes your health
TODAY.";1;;
336;survey_eq5d_cat_2_desc;Please indicate how your health is TODAY;1;;
337;survey_mos_cat_1_desc;For each of the following questions, please select the one response that best describes your answer. ;1;;
338;survey_mos_cat_2_desc;For each of the following questions, please select the one response that best describes your answer. ;1;;
339;survey_dn4_cat_1_q_1;Does the pain have one or more of the following characteristics?;1;;
340;survey_dn4_cat_1_q_2;Is the pain in the same area associated with one or more of the following symptoms:;1;;
341;survey_dn4_cat_2_q_1;Is the pain located in an area where the examination highlights:;1;;
342;survey_dn4_cat_2_q_2;Is the pain caused or heightened by:;1;;
343;survey_nrs_cat_1_q_1;Please select the number that best represents the <b>current intensity of your pain</b> on a scale of 0 to 10 where 0 = no pain and 10 = the worst pain imaginable.;1;;
344;survey_npsi_cat_1_q_1;Q1 - Does your pain feel like burning?;1;;
345;survey_npsi_cat_1_q_2;Q2 - Does your pain feel like squeezing?;1;;
346;survey_npsi_cat_1_q_3;Q3 - Does your pain feel like pressure?;1;;
347;survey_npsi_cat_1_q_4;Q4 - During the past 24 hours, your spontaneous pain has been present: Select the response that best describes your case;1;;
348;survey_npsi_cat_2_q_1;Q5 - Does your pain feel like electric shocks?;1;;
349;survey_npsi_cat_2_q_2;Q6 - Does your pain feel like stabbing?;1;;
350;survey_npsi_cat_2_q_3;Q7 - During the past 24 hours, how many of these pain attacks have you had: Select the response that best describes your case;1;;
351;survey_npsi_cat_3_q_1;Q8 -Is your pain provoked or increased by brushing on the painful area?;1;;
352;survey_npsi_cat_3_q_2;Q9 -Is your pain provoked or increased by pressure on the painful area?;1;;
353;survey_npsi_cat_4_q_1;Q10 -Is your pain provoked or increased by contact with something cold on the painful area?;1;;
354;survey_npsi_cat_4_q_2;Q11 -Do you feel pins and needles?;1;;
355;survey_npsi_cat_4_q_3;Q12 - Do you feel tingling?;1;;
356;survey_pgic_cat_1_q_1;Overall impression of change in the patient;1;;
357;survey_eq5d_cat_1_q_1;MOBILITY;1;;
358;survey_eq5d_cat_1_q_2;PERSONAL INDEPENDENCE;1;;
359;survey_eq5d_cat_1_q_3;ROUTINE ACTIVITIES (e.g. work, study, household chores, family or leisure activities);1;;
360;survey_eq5d_cat_1_q_4;PAIN / DISCOMFORT;1;;
361;survey_eq5d_cat_1_q_5;ANXIETY / DEPRESSION;1;;
362;survey_eq5d_cat_2_q_1;"We would like to know to what extent your health is
good or bad TODAY.
This scale is numbered from 0 to 100.
The figure of 100 is the best health you can imagine.
0 is the worst health you can imagine.";1;;
363;survey_mos_cat_1_q_1;During the past week, how long did it usually take for you to fall asleep? ;1;;
364;survey_mos_cat_1_q_2;During the past week, how many hours, on average, did you sleep each night? Select the number of hours per night. ;1;;
365;survey_mos_cat_2_q_1;"How often during the past week did you...
feel that your sleep was not quiet (moving restlessy, feeling tense, speaking, etc)? ";1;;
366;survey_mos_cat_2_q_2;"How often during the past week did you...
get enough sleep to feel rested upon waking in the morning? ";1;;
367;survey_mos_cat_2_q_3;"How often during the past week did you...
awake short of breath or with headaches? ";1;;
368;survey_mos_cat_2_q_4;"How often during the past week did you...
feel drowsy or sleepy during the day? ";1;;
369;survey_mos_cat_2_q_5;"How often during the past week did you...
have trouble falling asleep? ";1;;
370;survey_mos_cat_2_q_6;"How often during the past week did you...
wake up from your sleep and had trouble falling asleep again? ";1;;
371;survey_mos_cat_2_q_7;"How often during the past week did you...
have trouble staying awake during the day? ";1;;
372;survey_mos_cat_2_q_8;"How often during the past week did you...
snore during your sleep? ";1;;
373;survey_mos_cat_2_q_9;"How often during the past week did you...
take naps (5 minutes or longer) during the day?";1;;
374;survey_mos_cat_2_q_10;"How often during the past week did you...
get the amount of sleep you needed? ";1;;
375;survey_mos_cat_2_q_11;get the amount of sleep you needed?;1;;
376;burning;Burning;1;;
